,fit_3_9_flow_m3,temp_kampi,hum_kampi,rain_kampi,temp_kompoti,hum_kompoti,rain_kompoti,temp_kostakioi,hum_kostakioi,rain_kostakioi
fit_3_9_flow_m3,1.0,0.6383153085671902,-0.3487794696505952,-0.15939669999532213,0.6547269466647228,-0.4024077605793858,-0.08060384125038837,0.629787933915524,-0.32233155202994623,-0.11989156048463634
temp_kampi,0.6383153085671902,1.0,-0.4174046672893381,-0.10061238280063743,0.9872215626411097,-0.4353919385702994,-0.06688022774988359,0.9938679887672034,-0.34783878759749265,-0.15827901030602853
hum_kampi,-0.3487794696505952,-0.4174046672893381,1.0,0.25940955414283495,-0.35006976566208686,0.9116286898865553,0.14862424402826946,-0.3829468272597179,0.9416615314910397,0.3489573258518716
rain_kampi,-0.15939669999532213,-0.10061238280063743,0.25940955414283495,1.0,-0.10553631222491482,0.2803444762346289,0.09105053533080125,-0.09152648584654553,0.25321228576690463,0.33947224410204724
temp_kompoti,0.6547269466647228,0.9872215626411097,-0.35006976566208686,-0.10553631222491482,1.0,-0.4088558839159739,-0.06766929723834939,0.9906495012067639,-0.3008011660996456,-0.130749502663746
hum_kompoti,-0.4024077605793858,-0.4353919385702994,0.9116286898865553,0.2803444762346289,-0.4088558839159739,1.0,0.16192787864362446,-0.4259639554377984,0.9493201403209105,0.38539128575725323
rain_kompoti,-0.08060384125038837,-0.06688022774988359,0.14862424402826946,0.09105053533080125,-0.06766929723834939,0.16192787864362446,1.0,-0.0637134052049008,0.14550598776810628,0.20407561712457448
temp_kostakioi,0.629787933915524,0.9938679887672034,-0.3829468272597179,-0.09152648584654553,0.9906495012067639,-0.4259639554377984,-0.0637134052049008,1.0,-0.3209603321300852,-0.15678051212217353
hum_kostakioi,-0.32233155202994623,-0.34783878759749265,0.9416615314910397,0.25321228576690463,-0.3008011660996456,0.9493201403209105,0.14550598776810628,-0.3209603321300852,1.0,0.36080969497703985
rain_kostakioi,-0.11989156048463634,-0.15827901030602853,0.3489573258518716,0.33947224410204724,-0.130749502663746,0.38539128575725323,0.20407561712457448,-0.15678051212217353,0.36080969497703985,1.0
