Date,Flow_Agios_m3,Flow_Borehole_m3,Flow_Distribution_m3,Hours_A1_9,Hours_A2_9,Hours_A3_9,Starts_A1_9,Starts_A2_9,Starts_A3_9,Energy_kWh,Year,Month,YearMonth,Total_Flow_Delivered_m3,Total_Flow_Inflows_To_Tank_m3,Total_Flow_Meter_Lines_Sum_m3,Flow_Pumped_On_Site_m3,Hours_Distribution_Total,Starts_Distribution_Total,Total_Hours,Total_Starts,Specific_Energy,Specific_Energy_Pumped_On_Site,Utilization_A1_pct,StartsPerHour_A1,Utilization_A2_pct,StartsPerHour_A2,Utilization_A3_pct,StartsPerHour_A3,FlowShare_Line_Agios_pct,FlowShare_Line_Borehole_pct,FlowShare_Line_Distribution_pct,FlowRate_Borehole_m3h,FlowRate_Distribution_m3h,Utilization_Distribution_Dominant_pct,StartsPerHour_Distribution,FlowRate_Agios_daily_avg_m3h,Pumps_Active
2020-01-01,919.0,184.0,1122.0,4.003333568572998,19.953332901000977,2.279444456100464,1.0,5.0,5.0,55.75899887084961,2020,1,2020-01,1122.0,1103.0,2225.0,1306.0,23.956666469573975,6.0,26.23611092567444,11.0,0.04969607742499965,0.04269448611856785,16.680556535720825,0.24979182545521766,83.13888708750406,0.2505847030572607,9.497685233751934,2.193516927608624,41.30337078651685,8.269662921348313,50.426966292134836,80.72142293599735,46.83456278965146,83.13888708750406,0.2504522074312912,38.291666666666664,3
2020-01-02,863.0,270.0,1150.0,0.0,23.949443817138672,3.327777862548828,0.0,6.0,7.0,60.43000030517578,2020,1,2020-01,1150.0,1133.0,2283.0,1420.0,23.949443817138672,6.0,27.2772216796875,13.0,0.052547826352326764,0.04255633824308153,0.0,,99.78934923807779,0.25052773859016664,13.865741093953451,2.103505789487561,37.80113885238721,11.826544021024969,50.37231712658782,81.13522330880592,48.017816563115275,99.78934923807779,0.25052773859016664,35.958333333333336,2
2020-01-03,929.0,181.0,1128.0,0.0,23.947221755981445,2.2261111736297607,1.0,7.0,5.0,55.42100143432617,2020,1,2020-01,1128.0,1110.0,2238.0,1309.0,23.947221755981445,8.0,26.173332929611206,13.0,0.04913209347014732,0.04233842737534467,0.0,,99.7800906499227,0.29230948254995665,9.275463223457336,2.2460693155083113,41.510277033065236,8.087578194816802,50.402144772117964,81.30770922140087,47.103585188050154,99.7800906499227,0.33406798005709326,38.708333333333336,2
2020-01-04,843.0,302.0,1160.0,4.003333568572998,19.953332901000977,3.7283332347869873,1.0,5.0,8.0,62.486000061035156,2020,1,2020-01,1160.0,1145.0,2305.0,1462.0,23.956666469573975,6.0,27.684999704360962,14.0,0.05386724143192686,0.04274008212109108,16.680556535720825,0.24979182545521766,83.13888708750406,0.2505847030572607,15.534721811612448,2.1457309462996723,36.57266811279826,13.101952277657267,50.32537960954448,81.00134322281262,48.42076010338297,83.13888708750406,0.2504522074312912,35.125,3
2020-01-05,909.0,190.0,1118.0,0.0,23.5977783203125,2.341111183166504,0.0,7.0,5.0,55.39500045776367,2020,1,2020-01,1118.0,1099.0,2217.0,1308.0,23.5977783203125,7.0,25.938889503479004,12.0,0.04954830094612135,0.042350917781164885,0.0,,98.32407633463541,0.2966380946961663,9.754629929860432,2.1357379504023286,41.00135317997294,8.570139828597204,50.428506991429856,81.1580421152885,47.37734141004485,98.32407633463541,0.2966380946961663,37.875,2
2020-01-06,904.0,223.0,1143.0,0.0,23.903888702392578,2.732222318649292,0.0,6.0,6.0,57.768001556396484,2020,1,2020-01,1143.0,1127.0,2270.0,1366.0,23.903888702392578,6.0,26.63611102104187,12.0,0.05054068377637488,0.04228989865036346,0.0,,99.59953625996908,0.25100518475052347,11.384259661038715,2.1960145625946628,39.82378854625551,9.823788546255505,50.35242290748899,81.61854124310163,47.816487694974725,99.59953625996908,0.25100518475052347,37.666666666666664,2
2020-01-07,906.0,229.0,1150.0,4.000555515289307,19.95111083984375,2.798888921737671,1.0,5.0,6.0,58.41699981689453,2020,1,2020-01,1150.0,1135.0,2285.0,1379.0,23.951666355133057,6.0,26.750555276870728,12.0,0.05079739114512568,0.04236185628491264,16.668981313705444,0.2499652851155806,83.12962849934897,0.25061261200627755,11.662037173906963,2.1437077954043784,39.649890590809626,10.021881838074398,50.32822757111597,81.81818085793377,48.01336086386928,83.12962849934897,0.25050449146366577,37.75,3
2020-01-08,899.0,232.0,1130.0,0.0,23.948333740234375,2.612222194671631,0.0,6.0,6.0,56.935001373291016,2020,1,2020-01,1130.0,1131.0,2261.0,1362.0,23.948333740234375,6.0,26.560555934906006,12.0,0.050384956967514175,0.041802497337218074,0.0,,99.78472391764322,0.25053935130024124,10.88425914446513,2.2968949625490147,39.76116762494472,10.260946483856701,49.97788589119859,88.81327188522856,47.18491116154543,99.78472391764322,0.25053935130024124,37.458333333333336,2
2020-01-09,869.0,267.0,1144.0,0.0,23.95722198486328,3.2300000190734863,0.0,6.0,7.0,59.54399871826172,2020,1,2020-01,1144.0,1136.0,2280.0,1411.0,23.95722198486328,6.0,27.187222003936768,13.0,0.052048949928550456,0.04219985734816564,0.0,,99.82175827026367,0.2504463999954142,13.458333412806192,2.1671826497412603,38.1140350877193,11.710526315789474,50.175438596491226,82.66253821155951,47.751780265792306,99.82175827026367,0.2504463999954142,36.208333333333336,2
2020-01-10,866.0,222.0,1100.0,4.003333568572998,19.952777862548828,2.690000057220459,2.0,5.0,6.0,56.861000061035156,2020,1,2020-01,1100.0,1088.0,2188.0,1322.0,23.956111431121826,7.0,26.646111488342285,13.0,0.05169181823730469,0.04301134649094944,16.680556535720825,0.49958365091043533,83.13657442728677,0.2505916737230334,11.208333571751911,2.230483223929638,39.57952468007313,10.146252285191956,50.27422303473492,82.52787928539661,45.91730186105954,83.13657442728677,0.29220101184310615,36.083333333333336,3
